column_name,data_type,unique_values,missing_values,missing_percentage,sample_value_1,sample_value_2,description
dataset,object,1,0,0.00%,IMF.RES:WEO(9.0.0),IMF.RES:WEO(9.0.0),
series_code,category,8208,0,0.00%,G510.PCPIEPCH.A,G510.PCPIEPCH.A,
obs_measure,object,1,0,0.00%,OBS_VALUE,OBS_VALUE,
country,category,210,0,0.00%,ASEAN-5,ASEAN-5,
indicator,category,145,0,0.00%,"All Items, Consumer price index (CPI), End-of-period (EoP), percent change","All Items, Consumer price index (CPI), End-of-period (EoP), percent change",
frequency,category,1,0,0.00%,Annual,Annual,
scale,object,3,0,0.00%,Units,Units,
decimals_displayed,object,1,0,0.00%,Three,Three,
functional_cat,float64,0,418608,100.00%,nan,nan,
int_acc_item,object,9,392088,93.66%,nan,nan,
na_sto,object,4,263670,62.99%,nan,nan,
gfs_sto,object,7,297789,71.14%,nan,nan,
coicop_1999,float64,0,418608,100.00%,nan,nan,
trade_flow,object,5,379797,90.73%,nan,nan,
commodity,object,74,414783,99.09%,nan,nan,
soc_concepts,object,3,400044,95.57%,nan,nan,
sector,object,1,297789,71.14%,nan,nan,
accounting_entry,object,1,416160,99.42%,nan,nan,
index_type,object,3,365619,87.34%,Consumer price index (CPI),Consumer price index (CPI),
prices,object,6,274227,65.51%,nan,nan,
statistical_measures,object,1,402339,96.11%,nan,nan,
exrate,object,1,408561,97.60%,nan,nan,
transformation,float64,0,418608,100.00%,nan,nan,
unit,category,12,60384,14.42%,Percent,Percent,
reporting_period_type,float64,0,418608,100.00%,nan,nan,
overlap,object,1,0,0.00%,Overlapping Indicator,Overlapping Indicator,
country_update_date,datetime64[ns],31,29121,6.96%,NaT,NaT,
doi,float64,0,418608,100.00%,nan,nan,
full_description,object,1,0,0.00%,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.","The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",
author,float64,0,418608,100.00%,nan,nan,
publisher,object,1,0,0.00%,International Monetary Fund (IMF),International Monetary Fund (IMF),
department,object,1,0,0.00%,Research Department (RES),Research Department (RES),
contact_point,object,1,0,0.00%,datahelp@imf.org,datahelp@imf.org,
topic,object,15,0,0.00%,Consumer prices,Consumer prices,
topic_dataset,object,1,0,0.00%,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),
keywords,object,3,316098,75.51%,nan,nan,
keywords_dataset,object,1,0,0.00%,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,
language,object,1,0,0.00%,English,English,
publication_date,"datetime64[ns, UTC]",1,0,0.00%,2025-10-14 13:00:00+00:00,2025-10-14 13:00:00+00:00,
update_date,"datetime64[ns, UTC]",1,0,0.00%,2025-11-19 21:00:00+00:00,2025-11-19 21:00:00+00:00,
methodology,object,10,160752,38.40%,nan,nan,
methodology_notes,object,843,145299,34.71%,nan,nan,
access_sharing_level,object,1,0,0.00%,Public (Unrestricted),Public (Unrestricted),
access_sharing_notes,float64,0,418608,100.00%,nan,nan,
security_classification,object,1,0,0.00%,Public or Unrestricted,Public or Unrestricted,
short_source_citation,object,1,0,0.00%,IMF staff calculations.,IMF staff calculations.,
full_source_citation,float64,0,418608,100.00%,nan,nan,
license,object,1,0,0.00%,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,
